idna_subject,checker_type,destination,source,tested_at
0x.mycrypto.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:19:24.895122
ad001.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:19:52.837417
ad004.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:19:58.774235
ad005.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:04.724130
ad007.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:10.656043
ad008.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:16.566170
ad009.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:22.436267
ad011.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:28.300077
ad012.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:34.205892
ad013.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:40.023358
ad014.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:45.808388
ad015.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:51.609399
ad032.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:20:57.448155
ad201.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:21:03.434622
ad203.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:21:09.270854
ad210.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:21:15.093724
ad212.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:21:20.903362
ad213.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:21:26.747159
ad216.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:21:32.650722
ad217.a-ads.com,AVAILABILITY,domains.list,/home/runner/work/ZeroDot1_CoinBlockerLists_optional/ZeroDot1_CoinBlockerLists_optional/domains.list,2021-01-24 10:21:38.428533
